"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.51106 False","11.0.51106","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.60610 False","11.0.60610","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005 False","12.0.21005","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40649 False","12.0.40649","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660 False","12.0.40660","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005 False","12.0.21005","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40649 False","12.0.40649","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660 False","12.0.40660","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20191207"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20260311"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719","14.50.35719","Microsoft Corporation","20260311"
"Microsoft Visual Studio Code (User)","1.118.1","Microsoft Corporation","20260504"
"Microsoft Visual Studio Installer","4.0.2153.56108","Microsoft Corporation","20210729"
"Microsoft VSS Writer for SQL Server 2017","14.0.1000.169","Microsoft Corporation","20260513"
"Microsoft Windows Desktop Targeting Pack - 8.0.24 (x64)","64.96.47265","Microsoft Corporation","20260216"
"Microsoft.AAD.BrokerPlugin","1000.19580.1000.2","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.AccountsControl","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
